id;short_description;nom;id_manufacturer;categorie;gencod;upc;minimal_quantity;prix_final;prix_unite;unite;reference;weight;feature[0];feature[1];feature[2];feature[3];feature[4];filename;etat;;;;
48;Salade Iceberg BELLE FRANCE Le sachet 300g;Salade Iceberg;917;6261;3,26E+12;111213028;1;4.193400;1.048350;4;954545;2.113000;Conditionnement-Le sachet 300g;Unité par carton-6;NB carton/palette-64;DLV Garantie-4;DLV Théorique-5;Produits belle france -oui;centraleachatexport.com/37449-small_default/salade-iceberg.jpg;1;;;
49;Panaché de salades jeunes pousses  BELLE FRANCE Le sachet 100g;Panaché de salades jeunes pousses;917;6261;3,26E+12;111213029;1;3.448200;0.862050;4;942425;1.000000;Conditionnement-Le sachet 100g;Unité par carton-6;NB carton/palette-68;DLV Garantie-4;DLV Théorique-5;Produits belle france -oui;centraleachatexport.com/37997-small_default/panache-de-salades-jeunes-pousses.jpg;1;;;
50;Roquette   BELLE FRANCE Le sachet 200g;Roquette;917;6261;3,26E+12;111213030;1;3.568200;0.892050;4;954560;0.913000;Conditionnement-Le sachet 200g;Unité par carton-6;NB carton/palette-64;DLV Garantie-4;DLV Théorique-5;Produits belle france -oui;centraleachatexport.com/37645-small_default/roquette.jpg;1;;;
51;Mélange mache roquette   BELLE FRANCE Le sachet 100g;Mélange mache roquette;917;6261;3,26E+12;111213031;1;3.549600;0.887400;4;955104;0.850000;Conditionnement-Le sachet 100g;Unité par carton-6;NB carton/palette-68;DLV Garantie-4;DLV Théorique-5;Produits belle france -oui;centraleachatexport.com/22899-small_default/melange-mache-roquette.jpg;1;;;
52;Mélée gourmande   BELLE FRANCE Le sachet 200g;Mélée gourmande;917;6261;3,26E+12;111213032;1;6.185700;1.030950;6;940841;1.300000;Conditionnement-Le sachet 200g;Unité par carton-6;NB carton/palette-68;DLV Garantie-5;DLV Théorique-6;Produits belle france -oui;centraleachatexport.com/37460-small_default/melee-gourmande.jpg;1;;;
53;Salade melangée ECOPRIX le sachet 250 g;Salade melangée;918;6261;3,26E+12;111213033;1;12.356400;0.882600;14;900688;1.500000;Conditionnement-le sachet 250 g;Unité par carton-14;NB carton/palette-45;DLV Garantie-4;DLV Théorique-5;centraleachatexport.com/28602-small_default/salade-melangee.jpg;1;;;;
54;Salade melangée FLORETTE Le sachet 180g;Salade melangée;912;6261;3,28E+12;111213034;1;11.254800;1.406850;8;812487;1.100000;Conditionnement-Le sachet 180g;Unité par carton-8;NB carton/palette-60;DLV Garantie-6;DLV Théorique-7;centraleachatexport.com/22901-small_default/salade-melangee.jpg;1;;;;
55;Salade batavia FLORETTE Le sachet 200g;Salade batavia;912;6261;3,28E+12;111213035;1;12.000000;1.500000;8;812404;1.200000;Conditionnement-Le sachet 200g;Unité par carton-8;NB carton/palette-60;DLV Garantie-4;DLV Théorique-5;centraleachatexport.com/27795-small_default/salade-batavia.jpg;1;;;;
56;Salade futée jeunes pousses FLORETTE Le sachet 135g;Salade futée jeunes pousses;912;6261;3,28E+12;111213036;1;8.885700;5.923800;6;817908;0.820000;Conditionnement-Le sachet 135g;Unité par carton-6;NB carton/palette-80;DLV Garantie-5;DLV Théorique-6;centraleachatexport.com/22902-small_default/salade-futee-jeunes-pousses.jpg;0;;;;
57;Duo laitue&mache FLORETTE Le sachet 140g;Duo laitue&mache;912;6261;3,28E+12;111213037;1;8.791200;5.860800;6;812503;1.130000;Conditionnement-Le sachet 140g;Unité par carton-6;NB carton/palette-60;DLV Garantie-4;DLV Théorique-5;centraleachatexport.com/22903-small_default/duo-laituemache.jpg;0;;;;
