RAYON;Famille;nom_categorie;upc;reference;gencod;Unite par carton;prix_unite;prix_final;weight;profondeur;Hauteur;Longueur;Largeur;NB carton/palette;Nb de cartons par couche;Nb de couche par palette;DLV Theorique;DLV Garantie;BF;BIO;nom;Conditionnement;marque;etat
LIQUIDES;VINS ROUGES;SAINT EMILION;34132570;624189;3258561330853;6;5.545;33.2705;7.5;0.011904;31;24;16;100;25;4;0;0;BF; ;Saint-Emilion rouge 2015;La bouteille 75cl;BELLE FRANCE;1
LIQUIDES;VINS ROUGES;BORDEAUX ROUGE AOP;34132580;624767;3192371099350;6;2.4662;14.7974;7.2;0.011408;31;23;16;120;24;5;0;0;NAT; ;Bordeaux rouge;La bouteille 75cl;YVECOURT;1
LIQUIDES;VINS FINS;VIN ISSU DE L'AGRICULTURE BIOLOGIQUE;34132590;624700;3380330000053;6;2.942;17.6521;7.5;0.01152;32;24;15;100;25;4;0;0;NAT;BIO;Bordeaux Supérieur BIO;La bouteille 75cl;CHÂTEAU BARATET 2016;1
LIQUIDES;VINS FINS;GAMME CAVE A VINS;34132600;624742;3760077991348;6;8.1713;49.028;7.5;0.01152;30;24;16;100;25;4;0;0;NAT; ;Saint-Estèphe;La bouteille 75cl;LE CHARME DE LADOUYS 2015;1
LIQUIDES;VIN TABLE,PAYS & ETRANGER;GRANDS CONTENANTS;34132610;624981;3179077062802;4;7.1082;28.4328;13.7;0.01794;23;39;20;60;12;5;0;0;NAT; ;Côtes du Rhône;Le Bag In Box 3 litres;CELLIER DES DAUPHINS;1
LIQUIDES;VINS ROUGES;CANON FRONSAC;34132620;624403;3760195799581;6;2.6367;15.8205;7.5;0.01104;30;23;16;100;25;4;0;0;NAT; ;Fronsac;La bouteille 75cl;CHATEAU LA VENELLE 2012;1
LIQUIDES;VINS FINS;DEMIS BOUTEILLES-1/4 AOP;34132640;624569;3192377240008;12;1.5652;18.7825;7.5;0.0135;25;27;20;90;18;5;0;0;NAT; ; ; ; ;#N/A
LIQUIDES;VINS ROUGES;VAL DE LOIRE ROUGE;34132720;619387;3349139210230;6;4.7167;28.3002;7.5;0.01104;16;30;23;104;13;8;0;0;NAT; ; ; ; ;1
LIQUIDES;VINS FINS;VIN ISSU DE L'AGRICULTURE BIOLOGIQUE;34132790;655688;3701172701203;6;2.4515;14.709;7.5;0.01275;30;25;17;105;21;5;0;0;NAT;BIO; ; ; ;1
LIQUIDES;VINS ROUGES;VINS DU SUD OUEST;34132900;621524;3272590760573;6;3.182;19.092;10;0.015147;17;33;27;80;10;8;0;0;NAT; ;Gaillac;La bouteille 75cl;CHÂTEAU D'ESCABES L'ORANGERIE 2015;1
LIQUIDES;VINS ROUGES;LANGUEDOC ROUSILLON ROUGE;34132980;621888;3198129285914;6;2.2778;13.6669;7.4;0.012;30;25;16;105;21;5;0;0;NAT; ;Saint-Chinian;La bouteille 75cl;CHÂTEAU LES HUGUES 2015;1
LIQUIDES;VINS ROUGES;BORDEAUX ROUGE AOP;34133250;646844;3180280415545;6;2.6736;16.0416;7.4;0.01152;30;24;16;120;24;5;0;0;NAT; ;Bordeaux rouge;La bouteille 75cl;LA CROIX D'AUSTERAN 2016;1
LIQUIDES;VINS ROUGES;LANGUEDOC ROUSILLON ROUGE;34133260;648881;3258561340555;6;1.7873;10.7238;7.4;0.01104;30;23;16;100;25;4;0;0;BF; ;Fitou rouge;La bouteille 75cl;BELLE FRANCE;1
LIQUIDES;VIN TABLE,PAYS & ETRANGER;BOUTEILLES 75CL.;34133270;650580;3175529632302;6;1.3789;8.2734;7;0.012325;29;25;17;105;21;5;0;0;NAT; ;Vin de table de la Communauté Européenne;La bouteille 75cl;VIEUX PAPES;1
LIQUIDES;VINS FINS;GAMME CAVE A VINS;34133290;618520;3251091504183;6;11.548;69.2884;8.2;0.01104;30;23;16;100;25;4;0;0;NAT; ;Margaux;La bouteille 75cl;TUILERIES DE CHATELGRAND 2011;1
LIQUIDES;VINS ROUGES;VAL DE LOIRE ROUGE;34133310;654541;3465760361162;6;5.1756;31.0538;8;0.013702;31;26;17;105;21;5;0;0;NAT; ;Saumur Champigny Les Combe de Fées;Laz bouteille 75cl;FILLIATREAU 2017;1
LIQUIDES;VINS ROUGES;BORDEAUX ROUGE AOP;34133320;618264;3258561340012;6;2.0009;12.0059;7.8;0.011904;31;24;16;100;25;4;0;0;BF; ;Bordeaux rouge;La bouteille 75cl;BELLE FRANCE;1
LIQUIDES;VINS ROUGES;BORDEAUX SUPERIEUR;34133340;620369;3258561330914;6;2.2273;13.3638;7.5;0.011904;31;24;16;100;25;4;0;0;BF; ;Bordeaux supérieur boisé;La bouteille 75cl;BELLE FRANCE;#N/A
