id;id_parent;nom
296;22;LA CUISINE JAPONAISE
297;23;LES CREMES DESSERT
298;23;LES FOURNITURES PÂTISSERIE
299;23;LES ENTREMETS & PREPARATION GÂTEAUX
300;23;LES FRUITS SECS
301;23;LES COMPOTES DE FRUITS POTS
302;23;LES COMPOTES DE FRUITS GOURDES
303;23;LES FRUITS AU SIROP
304;24;LES PURÉES
305;24;COUSCOUS & SEMOULES
306;24;QUINOA & CÉRÉALES
307;24;LES POCHONS PÂTES & RIZ MICRO-ONDABLES
308;24;LES PÂTES ALIMENTAIRES SPÉCIALITÉ
309;24;LES PÂTES ALIMENTAIRES SACHET KILO
310;24;LES PÂTES ALIMENTAIRES SACHET 500G
311;24;LES PÂTES ALIMENTAIRES ÉTUI
312;24;LES LÉGUMES SECS
313;24;LE RIZ
314;24;LES RIZ DU MONDE
315;24;LE RISOTTO
316;25;LES VINAIGRETTES
317;25;LES HUILES EN BOUTEILLES PLASTIQUE
318;25;LES HUILES SPÉCIALES
319;25;LES HUILES D'OLIVES
320;25;LES VINAIGRES
321;25;CITRON CONCENTRÉ
322;26;LES LAITS EN POUDRE & LAITS CONCENTRÉS
323;26;LES LAITS AROMATISÉS
324;26;LES LAITS LONGUE CONSERVATION BIO
325;26;LES LAITS LONGUE CONSERVATION EN BOUTEILLES
326;26;LES LAITS EN PALETTE
327;26;LES LAITS LONGUE CONSERVATION EN BRIQUES
328;27;LES PATES A TARTINER
329;27;LES CONFITURES ALLEGEES
330;27;LES CONFITURES
331;27;LES CONFITURES SPECIALITES
332;27;LES CREMES DE MARRON
333;27;LES GELEES
334;27;LES MIELS
335;28;LE PAIN DE MIE
336;28;LES PAINS SPÉCIAUX
337;28;LES PAINS HAMBURGER
338;28;PAIN PRÉ-CUIT
339;29;LES GAUFRES
340;29;LES GÂTEAUX FAMILIAUX
341;29;LES CAKES
342;29;LES SPÉCIALITÉS
343;29;LES MADELEINES
344;29;LES GÂTEAUX BRETONS
345;29;LES MINIS GÂTEAUX
346;29;LES SPÉCIALITÉS ESPAGNOLES
347;29;LES CRÊPES
348;29;LES SPÉCIALITÉS ITALIENNES
349;30;LA CHICOREE
350;30;LES CAFES - CHICOREE SOLUBLES
351;30;LES POUDRES CACAO INSTANTANÉES
352;31;LES QUENELLES ET BOUCHÉES À GARNIR
353;31;LES BARQUETTES & COCOTTES MICRO-ONDABLES
354;31;LES PRODUITS DU TERROIR
355;31;LES CASSOULETS
356;31;LES CHOUCROUTES
357;31;LES PLATS CUISINÉS ITALIENS
358;31;COUSCOUS - PAËLLA & PLATS EXOTIQUES
359;31;LES PLATS CUISINÉS DIVERS
360;32;LES CROUTONS
361;32;LES SOUPES EN BRIQUES INDIVIDUELLES
