reference;Unite par carton;prix_unite;prix_final;weight;volume;NB carton/palette;DLV Theorique;DLV Garantie
15347;15;0.9031;13.5465;3.51;0.0234;40;180;90
15362;15;0.9031;13.5465;3.51;0.0234;40;180;120
15669;15;0.9031;13.5465;3.33;0.021888;40;180;120
46821;16;0.5168;8.2688;1.88;0.0168;64;180;120
46128;16;0.4273;6.8368;2.11;0.0168;64;180;120
46706;16;0.5326;8.5216;2.11;0.0168;64;180;120
46722;16;0.5041;8.0656;1.89;0.0168;64;180;120
45989;10;1.5052;15.052;1.9;0.012;128;300;120
45963;10;1.5052;15.052;1.9;0.012;128;300;120
33860;9;1.6536;14.8824;1.01;0.008892;81;270;120
46243;18;0.2831;5.0958;1.33;0.042;24;115;60
47027;12;1.1115;13.338;0.84;0.014784;84;180;120
47043;12;1.1115;13.338;0.84;0.014784;84;180;120
523860;9;0.4736;4.2624;0.98;0.01872;54;240;120
523829;12;0.8641;10.3692;4.1;0.025974;27;240;120
523787;9;0.4652;4.1868;0.98;0.01872;54;240;120
46185;16;0.2631;4.2096;1.33;0.042;24;115;60
46029;20;0.3747;7.494;3.7;0.04602;40;210;120
46045;20;0.3968;7.936;3.7;0.0472;40;210;120
46060;20;0.402;8.04;3.7;0.0456;40;210;120
46201;16;1.0989;17.5824;4.1;0.05568;32;210;120
46227;16;1.0989;17.5824;4.1;0.05568;32;210;120
46466;12;0.4105;4.926;1.4;0.009;114;300;120
46367;16;1.1789;18.8624;1.8;0.028675;28;210;90
18168;28;0.3252;9.1056;4.07;0.0624;16;210;120
18184;28;0.3115;8.722;4.2;0.0624;16;210;120
19521;14;0.8094;11.3316;1.73;0.0324;32;180;120
18424;18;0.7589;13.6602;1.6;0.0432;24;270;120
18689;18;0.7357;13.2426;1.6;0.0432;24;270;120
18747;18;0.7589;13.6602;2.06;0.0432;24;270;120
18846;18;0.7589;13.6602;2.06;0.0432;24;270;120
19448;14;1.1568;16.1952;1.49;0.0264;40;180;120
19489;14;1.1568;16.1952;1.49;0.0264;40;180;120
18440;15;0.9578;14.367;2.1;0.0288;36;180;120
19141;14;0.7115;9.961;1.95;0.0336;30;180;120
19125;21;0.642;13.482;2.34;0.0352;30;180;120
32227;18;1.0157;18.2826;1.8;0.009504;80;270;180
12682;20;0.2252;4.504;1.11;0.0192;56;120;90
43026;21;0.4799;10.0779;2.2;0.032;30;150;90
43042;12;0.502;6.024;1.1;0.010032;168;270;120
16089;18;0.2663;4.7934;1.42;0.0264;40;180;90
19323;19;1.2778;24.2782;4.43;0.0288;32;360;180
19307;19;1.2778;24.2782;4.25;0.0288;28;360;180
19281;19;1.2778;24.2782;4.25;0.0288;28;360;180
19265;19;1.2778;24.2782;4.43;0.0288;32;360;180
20487;19;1.2778;24.2782;4.43;0.0288;32;360;180
19547;9;1.2778;11.5002;1.95;0.013824;105;360;180
19745;9;1.2778;11.5002;1.95;0.013824;105;360;180
11403;14;0.362;5.068;1.24;0.021489;40;120;90
11429;14;0.2831;3.9634;1.24;0.029;40;180;90
11445;22;0.3431;7.5482;1.24;0.0348;24;210;120
11460;14;0.2799;3.9186;1.2;0.0264;40;120;90
11502;12;0.5526;6.6312;2.13;0.0336;30;120;90
11783;16;0.3494;5.5904;1.75;0.0216;48;120;90
12245;16;0.3494;5.5904;1.75;0.0216;48;120;90
46748;16;0.3494;5.5904;1.75;0.024;48;150;120
29587;12;0.4452;5.3424;0.84;0.0216;48;140;90
32128;12;1.001;12.012;2.78;0.03042;28;180;120
32144;10;1.5041;15.041;4.29;0.034272;24;210;120
11585;16;0.8483;13.5728;2;0.0171;45;300;120
27680;14;0.6462;9.0468;3.24;0.02808;36;300;120
29223;20;0.7094;14.188;5;0.042282;24;240;120
25700;8;1.5852;12.6816;1.8;0.0052;252;280;160
30767;12;1.5862;19.0344;1.63;0.0078;126;300;150
30783;12;1.5862;19.0344;1.63;0.0078;126;300;150
28282;12;0.6494;7.7928;2.98;0.01729;90;270;120
26666;12;0.6799;8.1588;1.86;0.013832;70;270;120
16162;18;1.2094;21.7692;2.6;0.016744;44;180;120
32284;12;1.0915;13.098;0.5;0.0114;120;240;120
